elbow_0
Module: E0:5A:1B:76:00:58 (06)
t(us),ax,ay,az,gx,gy,gz,y,p,r
5531697,22786,20042,-4394,-14,-3,9,-0.969110,2.291567,1.749986
5547323,23022,20052,-4636,-14,-13,8,-0.969364,2.291692,1.750421
5562950,23172,20020,-4528,1,9,11,-0.970291,2.291741,1.751656
5578577,23036,20122,-4514,14,43,10,-0.970579,2.291750,1.752187
5594202,22780,20152,-4498,-10,56,6,-0.970899,2.291530,1.752723
5609829,22616,20130,-4360,-38,38,4,-0.970316,2.291679,1.752133
5625455,22630,20112,-4378,-43,10,9,-0.970116,2.291744,1.751812
5641081,22850,20118,-4436,-39,-10,19,-0.969992,2.292038,1.751879
5656708,23122,19984,-4516,-42,-6,21,-0.970236,2.292067,1.752119
5672334,23114,19964,-4532,-42,20,11,-0.970838,2.291848,1.752431
5687961,22920,19996,-4502,-43,54,3,-0.802860,0.512469,-0.439720
5703588,22654,19994,-4414,-51,59,-1,-0.970114,2.291706,1.751328
